vf2_mean,vf3_mean,iterations,vf2_matches,vf3_matches,target_path,pattern_path,target_vertices,target_edges,pattern_vertices,pattern_edges
26.577058,0.344408,10,800,800,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b09_400/si4_b09_m400.01/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b09_400/si4_b09_m400.01/pattern,400,3600,160,1394
54.922659,0.383022,6,800,800,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b09_400/si4_b09_m400.02/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b09_400/si4_b09_m400.02/pattern,400,3600,160,1392
212.028220,0.330717,2,800,800,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b09_400/si4_b09_m400.03/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b09_400/si4_b09_m400.03/pattern,400,3600,160,1392
108.870283,0.405109,3,800,800,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b09_400/si4_b09_m400.04/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b09_400/si4_b09_m400.04/pattern,400,3600,160,1392
36.780220,0.353722,9,800,800,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b09_400/si4_b09_m400.05/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b09_400/si4_b09_m400.05/pattern,400,3600,160,1394
48.499111,0.341304,7,800,800,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b09_400/si4_b09_m400.06/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b09_400/si4_b09_m400.06/pattern,400,3600,160,1392
86.008415,0.332818,4,800,800,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b09_400/si4_b09_m400.07/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b09_400/si4_b09_m400.07/pattern,400,3600,160,1392
238.132610,0.341966,2,800,800,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b09_400/si4_b09_m400.08/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b09_400/si4_b09_m400.08/pattern,400,3600,160,1392
19.300890,0.329663,10,800,800,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b09_400/si4_b09_m400.09/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b09_400/si4_b09_m400.09/pattern,400,3600,160,1392
1.520342,0.002047,10,72,72,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_m4D_m4Dr4_256/si4_m4Dr4_m256.00/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_m4D_m4Dr4_256/si4_m4Dr4_m256.00/pattern,256,1546,102,422
