vf2_mean,vf3_mean,iterations,vf2_matches,vf3_matches,target_path,pattern_path,target_vertices,target_edges,pattern_vertices,pattern_edges
-1.000000,-1.000000,0,-1,-1,si/si4_bvg_b03m_800/si4_b03m_m800.08/target,si/si4_bvg_b03m_800/si4_b03m_m800.08/pattern,800,2398,320,808
-1.000000,-1.000000,0,-1,-1,si/si4_bvg_b03m_800/si4_b03m_m800.09/target,si/si4_bvg_b03m_800/si4_b03m_m800.09/pattern,800,2400,320,810
-1.000000,0.003253,0,-1,64,si/si4_bvg_b06m_200/si4_b06m_m200.00/target,si/si4_bvg_b06m_200/si4_b06m_m200.00/pattern,200,1192,80,336
-1.000000,0.001109,0,-1,8,si/si4_bvg_b06m_200/si4_b06m_m200.08/target,si/si4_bvg_b06m_200/si4_b06m_m200.08/pattern,200,1198,80,336
-1.000000,0.004714,0,-1,8,si/si4_bvg_b09m_800/si4_b09m_m800.00/target,si/si4_bvg_b09m_800/si4_b09m_m800.00/pattern,800,7190,320,1964
-1.000000,0.069005,0,-1,1152,si/si4_bvg_b09m_800/si4_b09m_m800.01/target,si/si4_bvg_b09m_800/si4_b09m_m800.01/pattern,800,7190,320,1934
-1.000000,0.005696,0,-1,24,si/si4_bvg_b09m_800/si4_b09m_m800.02/target,si/si4_bvg_b09m_800/si4_b09m_m800.02/pattern,800,7196,320,1980
-1.000000,0.008013,0,-1,48,si/si4_bvg_b09m_800/si4_b09m_m800.03/target,si/si4_bvg_b09m_800/si4_b09m_m800.03/pattern,800,7196,320,1922
-1.000000,0.004503,0,-1,4,si/si4_bvg_b09m_800/si4_b09m_m800.04/target,si/si4_bvg_b09m_800/si4_b09m_m800.04/pattern,800,7196,320,1960
-1.000000,0.006107,0,-1,16,si/si4_bvg_b09m_800/si4_b09m_m800.05/target,si/si4_bvg_b09m_800/si4_b09m_m800.05/pattern,800,7184,320,1808
-1.000000,0.019475,0,-1,64,si/si4_bvg_b09m_800/si4_b09m_m800.06/target,si/si4_bvg_b09m_800/si4_b09m_m800.06/pattern,800,7194,320,1858
-1.000000,0.009157,0,-1,32,si/si4_bvg_b09m_800/si4_b09m_m800.07/target,si/si4_bvg_b09m_800/si4_b09m_m800.07/pattern,800,7194,320,1758
-1.000000,0.004323,0,-1,1,si/si4_bvg_b09m_800/si4_b09m_m800.08/target,si/si4_bvg_b09m_800/si4_b09m_m800.08/pattern,800,7184,320,1950
-1.000000,0.007360,0,-1,48,si/si4_bvg_b09m_800/si4_b09m_m800.09/target,si/si4_bvg_b09m_800/si4_b09m_m800.09/pattern,800,7190,320,1976
-1.000000,-1.000000,0,-1,-1,si/si4_m4D_m4Dr2_1296/si4_m4Dr2_m1296.00/target,si/si4_m4D_m4Dr2_1296/si4_m4Dr2_m1296.00/pattern,1296,7716,518,2446
-1.000000,-1.000000,0,-1,-1,si/si4_m4D_m4Dr2_1296/si4_m4Dr2_m1296.01/target,si/si4_m4D_m4Dr2_1296/si4_m4Dr2_m1296.01/pattern,1296,7718,518,2360
-1.000000,-1.000000,0,-1,-1,si/si4_m4D_m4Dr2_1296/si4_m4Dr2_m1296.02/target,si/si4_m4D_m4Dr2_1296/si4_m4Dr2_m1296.02/pattern,1296,7716,518,2268
-1.000000,-1.000000,0,-1,-1,si/si4_m4D_m4Dr2_1296/si4_m4Dr2_m1296.03/target,si/si4_m4D_m4Dr2_1296/si4_m4Dr2_m1296.03/pattern,1296,7718,518,2106
-1.000000,7.427844,0,-1,82944,si/si4_m4D_m4Dr2_1296/si4_m4Dr2_m1296.04/target,si/si4_m4D_m4Dr2_1296/si4_m4Dr2_m1296.04/pattern,1296,7718,518,2234
-1.000000,-1.000000,0,-1,-1,si/si4_m4D_m4Dr2_1296/si4_m4Dr2_m1296.05/target,si/si4_m4D_m4Dr2_1296/si4_m4Dr2_m1296.05/pattern,1296,7718,518,2114
-1.000000,6.607255,0,-1,69120,si/si4_m4D_m4Dr2_1296/si4_m4Dr2_m1296.06/target,si/si4_m4D_m4Dr2_1296/si4_m4Dr2_m1296.06/pattern,1296,7718,518,2314
