target_graph_num_vertices,target_graph_num_edges,target_graph_path,subgraph_num_vertices,subgraph_num_edges,subgraph_path,min,max,num_samples,median,mean,stdev,num_found_matchings
800,7200,si/si2_bvg_b09_800/si2_b09_m800.07/target,160,1392,si/si2_bvg_b09_800/si2_b09_m800.07/pattern,405.08629841543734,415.71723421197385,10,406.5211062859744,407.7133215936832,3.447021024349072,1600
800,7200,si/si2_bvg_b09_800/si2_b09_m800.02/target,160,1392,si/si2_bvg_b09_800/si2_b09_m800.02/pattern,453.13652373757213,505.5072415396571,10,495.91486855223775,488.6198243317194,18.958494698846604,1600
400,3600,si/si2_bvg_b09_400/si2_b09_m400.00/target,80,674,si/si2_bvg_b09_400/si2_b09_m400.00/pattern,1309.74066061154,1384.2608706122264,10,1320.8993415348232,1331.2132675008847,25.471758282005908,800
800,7200,si/si2_bvg_b09_800/si2_b09_m800.04/target,160,1392,si/si2_bvg_b09_800/si2_b09_m800.04/pattern,440.50560210552067,490.5731437532231,10,475.4850688944571,469.82131840791556,21.81496350229086,1600
800,7200,si/si2_bvg_b09_800/si2_b09_m800.03/target,160,1392,si/si2_bvg_b09_800/si2_b09_m800.03/pattern,472.80750224739313,506.05832020845264,10,488.3716072025709,490.1839544637129,13.344704320624214,1600
200,600,si/si2_bvg_b03_200/si2_b03_m200.00/target,40,114,si/si2_bvg_b03_200/si2_b03_m200.00/pattern,0.027779453434050083,0.029718557372689247,10,0.028972250409424305,0.02885900354012847,0.000626178089157343,400
200,600,si/si4_bvg_b03_200/si4_b03_m200.00/target,80,234,si/si4_bvg_b03_200/si4_b03_m200.00/pattern,0.07004932686686516,0.07387776486575603,10,0.07064063800498843,0.07119673946872354,0.0012938646253169506,400
200,600,si/si4_bvg_b03_200/si4_b03_m200.01/target,80,234,si/si4_bvg_b03_200/si4_b03_m200.01/pattern,0.085896335542202,0.09560374263674021,10,0.08718161284923553,0.08820348363369704,0.0030129537551517364,400
200,600,si/si4_bvg_b03_200/si4_b03_m200.02/target,80,234,si/si4_bvg_b03_200/si4_b03_m200.02/pattern,0.05234341975301504,0.05612204037606716,10,0.0528567498549819,0.05357673428952694,0.0013812882472881076,400
200,600,si/si4_bvg_b03_200/si4_b03_m200.03/target,80,234,si/si4_bvg_b03_200/si4_b03_m200.03/pattern,0.07112365309149027,0.07522335927933455,10,0.07156602060422301,0.07251654276624322,0.0017988594547586343,400
200,600,si/si4_bvg_b03_200/si4_b03_m200.05/target,80,234,si/si4_bvg_b03_200/si4_b03_m200.05/pattern,0.0696271201595664,0.07912709936499596,10,0.07167283399030566,0.07387036317959428,0.004359705514919578,400
200,600,si/si4_bvg_b03_200/si4_b03_m200.04/target,80,234,si/si4_bvg_b03_200/si4_b03_m200.04/pattern,0.07404927723109722,0.08436049893498421,10,0.0772430831566453,0.0788779134862125,0.00452798249661059,400
200,600,si/si4_bvg_b03_200/si4_b03_m200.07/target,80,234,si/si4_bvg_b03_200/si4_b03_m200.07/pattern,0.05206959322094917,0.057099971920251846,10,0.052449134178459644,0.05323314517736435,0.0017844394942854941,400
200,600,si/si4_bvg_b03_200/si4_b03_m200.06/target,80,234,si/si4_bvg_b03_200/si4_b03_m200.06/pattern,0.07421719841659069,0.08503874763846397,10,0.07519123423844576,0.07660216940566897,0.003344694204246427,400
200,600,si/si4_bvg_b03_200/si4_b03_m200.08/target,80,234,si/si4_bvg_b03_200/si4_b03_m200.08/pattern,0.06934337876737118,0.07745173014700413,10,0.07187202712520957,0.07282364768907428,0.002928627230146781,400
200,600,si/si4_bvg_b03_200/si4_b03_m200.09/target,80,234,si/si4_bvg_b03_200/si4_b03_m200.09/pattern,0.0742245614528656,0.08273750077933073,10,0.07810872327536345,0.07825536970049143,0.0029175207390031597,400
400,1200,si/si4_bvg_b03_400/si4_b03_m400.00/target,160,474,si/si4_bvg_b03_400/si4_b03_m400.00/pattern,0.4929163586348295,0.5243784803897142,10,0.4968021446838975,0.5009949046187103,0.010124080005457697,800
400,1200,si/si4_bvg_b03_400/si4_b03_m400.01/target,160,474,si/si4_bvg_b03_400/si4_b03_m400.01/pattern,0.47307529859244823,0.48270705714821815,10,0.4747288548387587,0.47555047944188117,0.002831340751827248,800
400,1200,si/si4_bvg_b03_400/si4_b03_m400.03/target,160,474,si/si4_bvg_b03_400/si4_b03_m400.03/pattern,0.4954790351912379,0.5628778645768762,10,0.5159781584516168,0.527728542406112,0.030474915397018933,800
400,1200,si/si4_bvg_b03_400/si4_b03_m400.02/target,160,474,si/si4_bvg_b03_400/si4_b03_m400.02/pattern,0.5459303883835673,0.5662512565031648,10,0.5482857879251242,0.5503028864972294,0.006124334088048508,800
400,1200,si/si4_bvg_b03_400/si4_b03_m400.05/target,160,474,si/si4_bvg_b03_400/si4_b03_m400.05/pattern,0.4872909369878471,0.5246188063174486,10,0.5012099565938115,0.5025376602075994,0.010856829078550841,800
400,1200,si/si4_bvg_b03_400/si4_b03_m400.04/target,160,474,si/si4_bvg_b03_400/si4_b03_m400.04/pattern,0.49562960769981146,0.5176469129510224,10,0.4984625799115747,0.5009436666034162,0.006913097229285716,800
400,1200,si/si4_bvg_b03_400/si4_b03_m400.07/target,160,474,si/si4_bvg_b03_400/si4_b03_m400.07/pattern,0.4943835958838463,0.5130237163975835,10,0.49765137815847993,0.5003200064413249,0.006986619512938461,800
400,1200,si/si4_bvg_b03_400/si4_b03_m400.06/target,160,474,si/si4_bvg_b03_400/si4_b03_m400.06/pattern,0.5504114609211683,0.5775494184345007,10,0.5582728544250131,0.560836861282587,0.008927524674424644,800
400,1200,si/si4_bvg_b03_400/si4_b03_m400.09/target,160,474,si/si4_bvg_b03_400/si4_b03_m400.09/pattern,0.5522544803097844,0.567991747520864,10,0.553071684204042,0.5550980384461581,0.0047293902136938855,800
400,1200,si/si4_bvg_b03_400/si4_b03_m400.08/target,160,474,si/si4_bvg_b03_400/si4_b03_m400.08/pattern,0.5606337059289217,0.5656464723870158,10,0.5616545402444899,0.5620969878509641,0.0015315093257479385,800
800,2400,si/si4_bvg_b03_800/si4_b03_m800.01/target,320,954,si/si4_bvg_b03_800/si4_b03_m800.01/pattern,4.483851278200746,4.652796273119748,10,4.526040060445666,4.548734464216977,0.05772505894041881,1600
800,2400,si/si4_bvg_b03_800/si4_b03_m800.00/target,320,954,si/si4_bvg_b03_800/si4_b03_m800.00/pattern,4.6459443075582385,4.682003106921911,10,4.660313821863383,4.660294875781983,0.012079288280225859,1600
800,2400,si/si4_bvg_b03_800/si4_b03_m800.03/target,320,954,si/si4_bvg_b03_800/si4_b03_m800.03/pattern,2.910390444099903,2.937652471475303,10,2.9273054939694703,2.9265805491246284,0.009220327979320393,1600
800,2400,si/si4_bvg_b03_800/si4_b03_m800.02/target,320,954,si/si4_bvg_b03_800/si4_b03_m800.02/pattern,5.0191793497651815,5.053519522771239,10,5.02860111463815,5.030650757998228,0.010675105056634665,1600
800,2400,si/si4_bvg_b03_800/si4_b03_m800.04/target,320,954,si/si4_bvg_b03_800/si4_b03_m800.04/pattern,4.536528766155243,4.597204773686826,10,4.557287813164294,4.560234665311873,0.020924312559886516,1600
800,2400,si/si4_bvg_b03_800/si4_b03_m800.05/target,320,954,si/si4_bvg_b03_800/si4_b03_m800.05/pattern,4.6254773531109095,4.676080696284771,10,4.655402380041778,4.652821105718613,0.016602557713941264,1600
800,2400,si/si4_bvg_b03_800/si4_b03_m800.06/target,320,954,si/si4_bvg_b03_800/si4_b03_m800.06/pattern,4.409023975022137,4.461313725914806,10,4.414115735562518,4.419332692725584,0.01521549805614582,1600
800,2400,si/si4_bvg_b03_800/si4_b03_m800.07/target,320,954,si/si4_bvg_b03_800/si4_b03_m800.07/pattern,4.4243258107453585,4.752645815722644,10,4.43582024006173,4.4713846141472455,0.10166905851524409,1600
800,2400,si/si4_bvg_b03_800/si4_b03_m800.08/target,320,954,si/si4_bvg_b03_800/si4_b03_m800.08/pattern,4.4147068010643125,4.507705213967711,10,4.423155457014218,4.433341791620478,0.0276310184477758,1600
800,2400,si/si4_bvg_b03_800/si4_b03_m800.09/target,320,954,si/si4_bvg_b03_800/si4_b03_m800.09/pattern,2.535168849863112,2.5766785107553005,10,2.542880126973614,2.5473538433667273,0.012877238852547053,1600
200,598,si/si4_bvg_b03m_200/si4_b03m_m200.03/target,80,190,si/si4_bvg_b03m_200/si4_b03m_m200.03/pattern,0.8619569288566709,0.8809253890067339,10,0.8648501145653427,0.8666638391092419,0.005708922407042582,3072
200,600,si/si4_bvg_b03m_200/si4_b03m_m200.07/target,80,208,si/si4_bvg_b03m_200/si4_b03m_m200.07/pattern,0.8765262640081346,0.8996463920921087,10,0.8808688397984952,0.8834536275360734,0.007250769940367914,768
200,598,si/si4_bvg_b03m_200/si4_b03m_m200.06/target,80,200,si/si4_bvg_b03m_200/si4_b03m_m200.06/pattern,7.53380935639143,7.7161254161037505,10,7.544383231550455,7.573159871669486,0.06248083688635097,12288
