target_graph_num_vertices,target_graph_num_edges,target_graph_path,subgraph_num_vertices,subgraph_num_edges,subgraph_path,function,min,max,num_samples,median,mean,stdev,num_found_matchings
200,1800,si/si4_bvg_b09_200/si4_b09_m200.04/target,80,672,si/si4_bvg_b09_200/si4_b09_m200.04/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.12782964900000005,0.138497231,10,0.1320396794999999,0.13269779969999998,0.0036054213189696802,400
200,1800,si/si4_bvg_b09_200/si4_b09_m200.06/target,80,672,si/si4_bvg_b09_200/si4_b09_m200.06/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.10294253400000003,0.11611120100000005,10,0.10967719100000003,0.10936005450000003,0.004866110154714192,400
200,1800,si/si4_bvg_b09_200/si4_b09_m200.07/target,80,672,si/si4_bvg_b09_200/si4_b09_m200.07/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.11443942799999995,0.12024433600000001,10,0.11789389900000002,0.1178646363,0.0018036525839156383,400
200,1800,si/si4_bvg_b09_200/si4_b09_m200.08/target,80,672,si/si4_bvg_b09_200/si4_b09_m200.08/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.104250444,0.11526522299999997,10,0.11323185899999993,0.11093069209999999,0.0046045251196811755,400
200,1800,si/si4_bvg_b09_200/si4_b09_m200.09/target,80,674,si/si4_bvg_b09_200/si4_b09_m200.09/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.11192532399999999,0.12234177600000001,10,0.11890265149999998,0.1177567182,0.0037817724353057165,400
400,3600,si/si4_bvg_b09_400/si4_b09_m400.01/target,160,1394,si/si4_bvg_b09_400/si4_b09_m400.01/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.4548599109999998,0.472309709,10,0.4601843590000001,0.46232482560000004,0.007438549411745954,800
400,3600,si/si4_bvg_b09_400/si4_b09_m400.00/target,160,1394,si/si4_bvg_b09_400/si4_b09_m400.00/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.48482050700000023,0.505625739,10,0.4917550649999999,0.495155975,0.007554640440524228,800
400,3600,si/si4_bvg_b09_400/si4_b09_m400.03/target,160,1392,si/si4_bvg_b09_400/si4_b09_m400.03/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.41823547800000016,0.454983922,10,0.4360501855000001,0.43422587039999994,0.011268465387580102,800
400,3600,si/si4_bvg_b09_400/si4_b09_m400.02/target,160,1392,si/si4_bvg_b09_400/si4_b09_m400.02/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.5053402169999996,0.5303485099999998,10,0.5155175120000001,0.5157406106,0.0080732281795126,800
400,3600,si/si4_bvg_b09_400/si4_b09_m400.04/target,160,1392,si/si4_bvg_b09_400/si4_b09_m400.04/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.5048023859999999,0.5440345030000002,10,0.5190539335000001,0.5212593166,0.012029611980781162,800
400,3600,si/si4_bvg_b09_400/si4_b09_m400.05/target,160,1394,si/si4_bvg_b09_400/si4_b09_m400.05/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.4695861079999999,0.49476144099999964,10,0.48122404799999996,0.48048963689999996,0.008600608321957925,800
400,3600,si/si4_bvg_b09_400/si4_b09_m400.07/target,160,1392,si/si4_bvg_b09_400/si4_b09_m400.07/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.4249126190000001,0.45367742,10,0.4346938359999998,0.4352286804999999,0.008909984104653082,800
400,3600,si/si4_bvg_b09_400/si4_b09_m400.06/target,160,1392,si/si4_bvg_b09_400/si4_b09_m400.06/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.46604212,0.477188926,10,0.47303430250000017,0.4725971462,0.0032128135557755034,800
400,3600,si/si4_bvg_b09_400/si4_b09_m400.08/target,160,1392,si/si4_bvg_b09_400/si4_b09_m400.08/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.40247023000000004,0.456780817,10,0.4091514820000004,0.41744061480000005,0.018052606035794543,800
400,3600,si/si4_bvg_b09_400/si4_b09_m400.09/target,160,1392,si/si4_bvg_b09_400/si4_b09_m400.09/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.40968976199999974,0.455213126,10,0.41329056499999983,0.4208318012999999,0.016373571585403607,800
800,7200,si/si4_bvg_b09_800/si4_b09_m800.00/target,320,2832,si/si4_bvg_b09_800/si4_b09_m800.00/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",1.7219165689999993,1.8269728650000001,10,1.7657644710000002,1.7644411260000001,0.030562313911345142,1600
800,7200,si/si4_bvg_b09_800/si4_b09_m800.01/target,320,2832,si/si4_bvg_b09_800/si4_b09_m800.01/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",1.7128129310000002,1.8345767780000006,10,1.8016775764999995,1.7925636368000002,0.044346000461806895,1600
